País,Year,Incidente,Detalles
 Israel,2018,Apuñalamiento en la calle de Hagai,"Un israelí fue apuñalado en la calle de Hagai, Ciudad vieja de Jerusalén en Israel. El terrorista fue abatido por la policía y el israelí, de 30 años aproximadamente, está en estado grave, hospitalizado.132"
 Francia,2018,Atentados de Carcasona y Trèbes de 2018,"Una serie de atentados terroristas de parte del ISIS se dieron en Francia, el terrorista asesinó a un pasajero y robó el auto por donde estaba el pasajero, más tarde, entró en un supermercado y tomó a varios rehenes en Trèbes.133 Los hechos ocurrieron al sur de Francia, en la región de Aude. Al menos tres personas han muerto incluyendo al atacante, el que fue abatido por la policía.134 Horas más tarde, el Estado Islámico reivindicó el atentado por la agencia Amaq. El autor fue identificado como Redouane Lakdim, un joven de 25 años de origen marroquí, quien había jurado mantener lealtad al grupo y al que el Estado islámico ha tildado como «un soldado».135136"
 Alemania,2018,Atropello masivo de Munster de 2018,"Una camioneta atropella y arrolla a una multitud en frente de un restaurante en una plaza de Münster, estrellándose en el mismo restaurante, matando a cuatro personas y dejando heridas a 20 personas más.
Según un informe Policial, el autor del atropello usó una furgoneta para arrollar a los transeúntes en el restaurante Kiepenkerl, un restaurante bastante popular.137"
 Canadá,2018,Ataque con vehículo de Toronto de 2018,"Una furgoneta atropella a varias personas dejando un saldo de 10 muertos y 15 heridos.
El perpetrador fue identificado como Alek Minassian, un joven de 25 años; el cual decidió conducir una furgoneta a una velocidad bastante elevada contra los peatones en Toronto.138"
 Afganistán,2018,Atentados contra periodistas en Kabul,"En la ciudad de Kabul, un doble ataque suicida deja al menos 25 personas muertas (9 de ellos eran periodistas), y otras 45 resultaron heridas. El segundo ataque fue perpetrado por un terrorista disfrazado de periodista.
El Estado Islámico se responsabilizó del atentado.139"
 Francia,2018,Atentado de París de 12 de mayo de 2018,"En un atentado en la Ópera de París y entre la calle Saint-Augustin, una persona murió y otras cuatro resultaron heridas por un hombre armado con un cuchillo que decidió apuñalar a varias personas mientras gritaba ""Allah Akbar"". El atacante fue abatido por la Policía. Horas más tarde, la agencia Amaq responsabilizó del atentado, tildando al atacante como un ""soldado"" del ISIS.140"
 Indonesia,2018,Atentados de Surabaya de 2018,"Seis de los miembros de una familia, un matrimonio y cuatro hijos (algunos niños y adolescentes) perpetraron el domingo 13 de mayo un triple atentado contra varias iglesias cristianas de Surabaya. Los ataques dejaron 13 muertos y alrededor de 40 heridos.
El ISIS asumió la autoría de los atentados y hasta la fecha, es considerado el peor de los atentados perpetrados por este grupo yihadista en Indonesia.141"
 Canadá,2018,Explosión en restaurante de Mississauga,"Dos terroristas lanzan un artefacto explosivo en un restaurante indio de Mississauga, a las afueras de Toronto. Al menos 15 personas han resultado heridas, tres en estado crítico, por la explosión de la bomba.142"
 Bélgica,2018,Atentado de Lieja de 2018,"Un miembro del Estado Islámico recién salido de la cárcel acusado por delitos menores apuñala y mata a dos policías en el centro de la ciudad de Lieja y les roba sus pistolas. Después del ataque, el terrorista mató a tiros a un civil y se atrincheró en una escuela con una rehén. El atacante murió abatido por la policía después de un fuerte intercambio de disparos. Cuatro policías más resultaron heridos, dos en estado grave, y el atacante murió abatido.
El atacante había matado a ""un adicto a las drogas"" en Marche-en-Famenne el día antes del ataque.143144"
 Etiopía,2018,Atentado de Adís Abeba de 2018,"Una granada explota durante un míting del primer ministro etíope Abiy Ahmed Ali en Adís Abeba. Como resultado de la detonación dos personas muerieron y 164 resultaron heridas, algunas en estado grave.
Se deconocen los motivos del ataque terrorista.145"
 Pakistán,2018,Atentados de Mastung y Bannu,"Se producen dos atentados suicidas en mítings electorales antes de las elecciones generales, en las ciudades de Mastung y Bannu, siendo la primera la más mortífera. Los atentados dejaron un total de 154 muertos y 223 heridos.
El Estado Islámico reivindicó los atentados.146"
 Canadá,2018,Tiroteo de Toronto de 2018,"Un hombre abre fuego contra varios restaurantes en la zona de Greektown, en el centro de Toronto. Al menos dos personas, una joven de 18 años y una niña de 10 años, murieron y 13 personas más resultaron heridas, algunos en estado crítico.
El atacante fue abatido y el Estado Islámico reivindicó el atentado.
Horas más tarde, un hombre fue detenido en el Parlamento de Canadá armado con un cuchillo durante el cambio de guardia.147148149"
 Grecia,2018,Incendios forestales en Ática de 2018,"Una serie de incendios forestales masivos provocados probablemente por cócteles molotov arrasa la periferia de Ática y Atenas. Al menos 91 personas mueren y 187 resultan heridas. Más de 700 residentes fueron evacuados o rescatados, muchos se lanzaron al mar.
El primer ministro Alexis Tsipras declaró el estado de emergencia en toda la zona.150151"
 Siria,2018,Atentados de As-Suwayda de 2018,"Una serie de ataques del Estado Islámico en la Gobernación de As-Suwayda, Siria, deja un total de 315 muertos (7 terroristas inmolados y 56 abatidos) y más de 200 heridos. Varias personas también fueron secuestradas por el grupo yihadista.152"
 Tayikistán,2018,Atentado de Danghara de 2018,"Un coche embiste a un grupo de ciclistas turistas en el distrito de Danghara, cerca de la capital de Tayikistán. Al menos 4 personas han muerto (dos estadounidenses, un holandés y un suizo) y dos personas más resultaron heridas en estado grave. Posteriormente la policía abatió a cinco terroristas en varias redadas.
El Estado Islámico se atribuyó al atentado.153"
 Venezuela,2018,Intento de asesinato de Nicolás Maduro,"Durante un acto de conmemoración de los 81 años de la creación de la Guardia Nacional Bolivariana (GNB) se producen al menos dos explosiones causadas por un dron en la Avenida Bolívar de Caracas mientras el presidente de Venezuela, Nicolás Maduro, daba un discurso televisivo. El ataque, que dejó al menos siete soldados heridos, se consideró como un intento de asesinato contra Maduro.154"
 Reino Unido,2018,Atentado de Westminster de 2018,"Un Ford Fiesta intenta atropellar a una multitud de personas a las afueras del Palacio de Westminster de Londres y se estampa contra las vallas del palacio. Al menos tres ciclistas han resultado heridos, uno en estado grave.
El autor del ataque fue identificado como Salih Khater, un británico de origen sudanés.
La policía calificó el ataque de «incidente terrorista».155"
 España,2018,Atentado fallido de Cornellá de Llobregat de 2018,"Un argelino armado con un cuchillo asalta una comisaría de policía de los Mossos d’Esquadra en Cornellá de Llobregat, Barcelona, mientras gritaba “Alá es grande”.
El atacante murió abatido por la policía y el incidente no causó heridos.
La policía trató el ataque como un «atentado terrorista», ya que el atacante tenía «la voluntad de matar».156"
 Países Bajos,2018,Atentado en la Estación Central de Ámsterdam de 2018,"Un ciudadano afgano de 19 años apuñala e hiere a dos turistas norteamericanos en la Estación Central de Ámsterdam. La policía hirió y detuvo el atacante que aseguraba actuar en nombre del Estado Islámico.
El incidente se trató como ataque terrorista.157"
 Irán,2018,Atentado de Ahvaz de 2018,"Cinco terroristas atacan con armas automáticas un desfile militar en la ciudad iraní de Ahvaz. Los terroristas estuvieron más de 10 minutos disparando contra los civiles y militares.
25 personas han muerto y 70 han resultado heridas. Cuatro terroristas también murieron abatidos y un quinto fue detenido.
El Estado Islámico reivindicó el atentado, pero el gobierno de Irán apuntó a un grupo separatista árabe como responsable del atentado y a Estados Unidos. El país americano negó cualquier relación.158"
 Estados Unidos,2018,Caso de los paquetes sospechosos en Estados Unidos de octubre de 2018,"Una serie de paquetes bomba fueron enviados a varios políticos pertenecientes o relacionados con el Partido Demócrata. La primera bomba fue hallada en el buzón de la casa de George Soros, en el estado de Nueva York. Dos días más tarde se hallaron paquetes en la residencia de Barack Obama, en Washington D.C., y Hillary Clinton, en Nueva York. La CNN tuvo que ser desalojada al recibir otra bomba y esa mañana un paquete explosivo no llegó al ex fiscal Eric Holder y fue retornado. También se encontraron explosivos dirigidos a Debbie Wasserman Schultz, Maxine Waters y al restaurante de Robert De Niro. El FBI detuvo a César Sayoc, natural de Florida y de ideología ultraderechista, como autor de los intentos de atentado.159"
 Estados Unidos,2018,Tiroteo en la sinagoga de Pittsburgh,"Un hombre abre fuego durante una fiesta religiosa en una sinagoga de la ciudad de Pittsburgh, Pensilvania. El tiroteo dejó un balance de 11 muertos y 6 heridos.
La policía detuvo al autor del ataque que confesó haber actuado por motivaciones antisemitas.160"
 Estados Unidos,2018,Tiroteo de Thousand Oaks de 2018,"12 personas mueren y más de 20 resultan heridas en un tiroteo en un bar en Thousand Oaks, Los Ángeles, California.161 El autor fue un ex-marine llamado Ian David Long el cual fue abatido en la escena.162"
 España,2018,Intento de atentado contra Pedro Sánchez,"La policía de Cataluña, Mossos d'Esquadra, informa de la detención de un francotirador armado con 16 armas de fuego, incluidos rifles de alta precisión, un subfusil de asalto y munición, listo para cometer un atentado contra el presidente del gobierno español, Pedro Sánchez, en respuesta a la exhumación del dictador Francisco Franco del Valle de los Caídos.
El atacante fue detenido en la ciudad de Tarrasa, en la provincia de Barcelona.163"
 Australia,2018,Atentado de Melbourne de noviembre de 2018,"Un miembro del Estado Islámico empotra su vehículo contra un centro comercial y se incendia en el Distrito Central de Negocios de Melbourne, en el centro de la ciudad. El atacante también apuñaló a varias personas. Al menos un civil ha muerto y dos personas han resultado heridas. El autor del ataque murió abatido por la policía.
Dos semanas más tarde la policía desarticuló un ataque yihadista inminente con armas de fuego en el centro de Melbourne.164165"
 Francia,2018,Atentado de Estrasburgo de 2018,"Un presente islamista radical abre fuego con un AK-47 en el mercado navideño de Estrasburgo, capital de la región francesa de Alsacia. El ataque dejó cinco muertos y 15 heridos, cinco en estado crítico. El autor de ataque, identficado como Chérif Chekatt, tomó como rehén a un taxista en su huida y podría haberse herido después de un intercambio de fuego con unos soldados. El atacante murió dos días más tarde después de un intercambo de fuego con la policía en la ciudad.166"
 Marruecos,2018,Asesinatos de Louisa Vesterager y Maren Ueland,"Una turista danesa y otra noruega murieron brutalmene asesinadas y decapitadas en la falda del Monte Tubqal, en la cordillera del Atlas de Marruecos, mientras estaban haciendo senderismo.
La policía detuvo a cuatro terroristas yihadistas como presuntos autores de los asesinatos.167"
 Reino Unido,2018,Atentado de Mánchester de 2018,"Horas antes de las celebraciones de fin de año, un hombre armado con un cuchilló apuñaló a tres personas en la Estación de Mánchester Victoria, entre ellos un policía. El atacante gritó “Alá es grande” durante el atentado y fue reducido con una pistola Taser por la policía, que calificó el incidente como un atentado terrorista.168"
 Alemania,2019,Atentados de Bottrop y Essen de 2019,"Durante las celebraciones de Nochevieja un automóvil atropelló a varias personas, entre ellos sirios y afganos, en las ciudades alemanas de Bottrop y Essen. Al menos ocho personas han resultado heridas.
El conductor del vehículo actuó por motivos de xenofobia e islamofobia.169"
 Japón,2019,Atropello masivo de Tokio de 2019,"Durante las celebraciones de fin de año una furgoneta atropella a múltiples personas en el centro de Tokio, dejando al menos 9 heridos. El atacante actuó por motivos políticos, concretamente porque estaba en contra de la pena de muerte aplicada en Japón.170"
 Chile,2019,"Explosión en parada de bus, Santiago de Chile","Cinco personas resultaron lesionadas el viernes tras la explosión de un artefacto en una parada del autobús urbano en el centro de Santiago de Chile. Un grupo conocido como “Individualistas Tendiente a lo Salvaje” (ITS), y que se autodefine como “eco-terrorista” se adjudicó el ataque."
 Kenia,2019,Atentado contra el complejo 14 Riverside Drive,"Una explosión suicida es registrada en la entrada del complejo hotelero de lujo 14 Riverside de Nairobi. Después del primer ataque, al menos seis hombres armados asaltaron el hotel durante 19 horas, tomando en su interior a decenas de rehenes.
El ataque terminó con la muerte de todos los terroristas, que eran miembros de Al-Shabaab.
Al menos 21 personas han muerto y 28 han resultado heridas, 19 personas siguen desaparecidas. La mayoría de víctimas son kenianos, pero también hay británicos, australianos, americanos y españoles.171"
 Colombia,2019,Atentado contra la escuela de policía General Santander,"Una camioneta Nissan Patrol estalla al ser conducida por un terrorista suicida en la Escuela de Cadetes de Policía General Santander de Bogotá. La policía confirmó que 20 personas murieron, la mayoría policías, y 87 resultaron heridas, el atacante también murió en el acto.
El gobierno sospecha que el ELN está detrás del ataque.172"
 Filipinas,2019,Atentados contra la catedral de Jolo de 2019,"Dos bombas explotan en la catedral católica de Nuestra Señora del Carmen de Joló, Sulu, Filipinas.
20 personas murieron y 82 resultaron heridas en los atentados.
El Estado Islámico reivindicó los ataques.173"
 Malí,2019,Atentado terrorista de Kulikoró,"Ataque yihadista contra el centro de adiestramiento de Kulikoró, en Malí, con dos furgonetas cargadas con 500 kg de TNT y diversos terroristas en motos con armas automáticas y semiautomáticas.174"
 Nueva Zelanda,2019,Atentados de Christchurch de 2019,"Un supremacista blanco australiano abre fuego indiscriminadamente contra decenas de personas en dos mezquitas de Christchurch, la tercera ciudad más importante de Nueva Zelanda. El atacante, identificado como Brenton Tarrant, grabó la masacre y lo subió a Facebook. El atentado dejó un total de 50 muertos y 50 heridos, la mayoría en estado crítico. Los disparos duraron al menos 20 minutos y el tirador fue detenido.
La policía ha calificado el ataque como el peor atentado terrorista sufrido en la historia del país.
En el interior de su vehículo también se hallaron varios artefactos explosivos.175176"
 Países Bajos,2019,Atentado de Utrecht de 2019,"Un ciudadano turco dispara contra varias personas en un tranvía en la ciudad holandesa de Utrecht. Al menos cuatro personas han muerto y seis han resultado heridas, cinco de gravedad.
La policía detuvo al atacante unas horas más tarde y el primer ministro holandés, Mark Rutte, consideró el atentado como un “acto terrorista”.
Antes de ser detenido el tirador, la provincia de Utrecht declaró el estado de alerta máxima y se recomendó a los ciudadanos no salir a la calle.177"
 México,2019,Masacre en Minatitlán,"13 personas, incluido un bebé de un 1 año, murieron durante una fiesta en Minatitlán, Veracruz . Se cree que las muertes están relacionadas con una disputa entre Los Zetas y el CJNG.178"
 Sri Lanka,2019,Atentados masivos de Sri Lanka,"Un total de ocho explosiones suicidas devastadoras se producen en las ciudades de Colombo, Negombo, Batticaloa y Dematagoda. Los complejos atacados fueron varias iglesias, hoteles famosos y santuarios. Al menos 359 personas han muerto y más de 500 han resultado heridas. Las autoridades declararon un toque de queda en todo el país y se cerraron WhatsApp, Instagram y Facebook. La policía realizó varias redadas en Colombo y se abortaron más atentados inminentes.
Los atentados se produjeron el domingo de Pascua y el Estado Islámico reivindicó los atentados días más tarde, en respuesta a los ataques contra mezquitas en Nueva Zelanda.
Entre las víctimas mortales extranjeras hay varios británicos, indios, americanos, daneses, australianos, españoles y turcos. Dos días más tarde, la policía rebajó la cifra de muertos a 253.
El 26 de abril, una redada antiterrorista contra los cerebros de los atentados en Kalmunai, dejó 15 muertos.179180"
 Estados Unidos,2019,Tiroteo en la sinagoga de Poway,"Un joven armado con un Fusil tipo AR-15 abre fuego en una sinagoga de Poway, al norte de San Diego, California.
El arma del atacante falló y fue reducido por algunos presentes en la sinagoga, evitando más víctimas. El ataque dejó un muerto y tres heridos.
El autor se inspiró en el atentado de Christchurch.181"
 Francia,2019,Atentado de Lyon de 2019,"Una explosión causada por una bomba se produce en una panadería situada en la calle Victor Hugo, en el centro de Lyon. El atentado causó un total de 13 heridos, 11 de los cuales fueron trasladados a diferentes centros hospitalarios.
El Estado Islámico reivindicó el atentado unos días más tarde. El autor del atentado fue detenido tres días después en una parada de bus de la ciudad francesa.182"
 Estados Unidos,2019,Masacre del Festival de Gilroy Garlic,"Un total de 4 personas fueron asesinadas, incluyendo el tirador, y 12 resultaron heridas tras un tiroteo en un festival gastronómico de la ciudad de Gilroy, California.
El autor del tiroteo fue identificado como Santino William Legan y se cree que actuó por motivos antisemitas.183"
 Estados Unidos,2019,Tiroteo de El Paso de 2019,"Un hombre de 21 años de edad abrió fuego dentro de un centro comercial de la empresa Walmart, en la ciudad fronteriza de El Paso, Texas.184 El ataque fue dirigido contra la comunidad mexicana residente en Texas, hasta el momento reportan 22 personas fallecidas y 29 heridas (9 mexicanos fallecidos y 7 resultaron heridos). El FBI calificó el tiroteo masivo como ""un atentado terrorista con motivos xenófobos"".185"
 Estados Unidos,2019,Tiroteo de Dayton de 2019,"Un hombre armado mató a 9 personas e hirió a 27 afuera de un bar después de que se le negó la entrada, antes de ser abatido por la policía.186"
 Egipto,2019,Atentado de El Cairo de 2019,"Un automóvil se empotra contra un hospital en el centro de El Cairo y explota dejando 20 muertos y 49 heridos.
La policía trató el suceso como un accidente de tráfico pero horas más tarde confirmó que se trataba de un “atentado terrorista”.187"
 Noruega,2019,Tiroteo en la mezquita de Bærum,"Un supremacista blanco armado irrumpe en una mezquita en Bærum, Oslo y dispara contra varias personas dejando al menos un herido grave.
El atacante fue detenido por la policía y se cree que planeaba un ataque peor, pero cometió el tiroteo un día antes de una celebración multitudinaria en la mezquita.
La policía halló el cadáver de una mujer inmigrante en otra parte de la ciudad y lo relacionó con el tiroteo.
El ataque fue calificado como “intento de atentado terrorista”.188"
 Afganistán,2019,Ataque terrorista en Kabul del 17 de agosto de 2019,"Un atentado suicida en una boda de Kabul deja un balance de 92 muertos y 145 heridos. El atentado se produjo un día antes de la celebración del primer centenario de la independencia de Afganistán.
El Estado Islámico reivindicó el atentado.189"
 México,2019,Masacre de Coatzacoalcos de 2019,"Miembros del CJNG atacan con tiroteos y bombas molotov un bar conocido como ""El caballo Blanco"" en la ciudad mexicana de Coatzacoalcos, dejando un total de 28 personas fallecidas y 15 heridas.190 Entre las víctimas se encuentran 2 marines de origen filipino.191"
 Francia,2019,Atentado Jefatura de policía de París de 2019,"Un trabajador de una comisaría de policía en la Île de la Cité, en el centro de París, recién convertido al islam, comete un ataque múltiple con un cuchillo. Al menos tres policías y una trabajadora han muerto y dos personas más han resultado heridas.
El atacante, identificado como Mickaël Harpon, fue abatido a tiros.192"
 Alemania,2019,Tiroteo en la sinagoga de Halle,"Un terrorista de extrema derecha intenta ingresar en una sinagoga en la ciudad alemana de Halle, Sajonia-Anhalt, mientras se grababa en directo. El atacante disparó con un fusil contra varias personas y lanzó varias granadas y un artefacto explosivo. Al menos dos personas murieron y tres resultaron heridas, entre ellas el atacante.
La canciller alemana, Angela Merkel, calificó el ataque como un “atentado terrorista antisemita”. Un día antes un refugiado sirio empotró un camión robado contra varias personas y vehículos en la ciudad de Limburgo del Lahn, dejando al menos una decena de heridos.193"
 México,2019,Masacre de la familia LeBaron,"Ocurrió el 4 de noviembre de 2019 cuando presuntos miembros del crimen organizado atacaron y dieron muerte a un grupo de mujeres y menores de edad pertenecientes a la familia mexico-estadounidense de origen mormón.
Fueron 12 familiares de la familia LeBaron en una intrincada zona de la Sierra Madre Occidental en las inmediaciones de la comunidad de La Mora, municipio de Bavispe, en el extremo noreste del estado de Sonora y muy cercano a sus límites con el de Chihuahua.
La masacre dejó 9 muertos y 6 heridos.194"
 Jordania,2019,Atentado en Jerash,"Un hombre armado hirió a 8 personas en un ataque en la ciudad jordana de Jerash. Entre los heridos se encuentran 4 jordanos, 3 turistas mexicanos, y 1 turista suizo.
El atacante fue inmediatamente arrestado, y se investigan los motivos del atentado.195"
 Reino Unido,2019,Atentado de Londres de 2019,"Un ataque con cuchillo en el London Bridge deja al menos 2 personas fallecidas y otras 3 heridas.
La policía británica abatió al agresor quien fue identificado como ciudadano británico de 28 años de origen pakistaní.196"
 Estados Unidos,2019,Tiroteo de Jersey City de 2019,"Dos hombres armados producen un tiroteo masivo en un cementerio y una tienda judía en Jersey City, Nueva Jersey, Estados Unidos. El ataque dejó 6 muertos (incluyendo los dos tiradores) y tres heridos graves.
La policía lo calificó como un atentado terrorista contra la comunidad judía, siendo objetivo de varios ataques recientes en el país."
 Somalia,2019,Atentado de Mogadiscio de 2019,Un atentado suicida con un camión bomba en un puesto de control de la policía de Mogadiscio deja más de 85 muertos y 140 heridos.
